data,hora_chegada,qtd_pacientes,tempo_medio_espera,data_hora,dia_semana,mes
2024-01-01,0,6,34.833333333333336,2024-01-01 00:00:00,0,1
2024-01-01,1,3,56.0,2024-01-01 01:00:00,0,1
2024-01-01,2,2,52.5,2024-01-01 02:00:00,0,1
2024-01-01,3,2,34.0,2024-01-01 03:00:00,0,1
2024-01-01,4,3,58.333333333333336,2024-01-01 04:00:00,0,1
2024-01-01,5,2,10.5,2024-01-01 05:00:00,0,1
2024-01-01,6,8,60.5,2024-01-01 06:00:00,0,1
2024-01-01,7,5,46.0,2024-01-01 07:00:00,0,1
2024-01-01,8,9,68.0,2024-01-01 08:00:00,0,1
2024-01-01,9,5,55.2,2024-01-01 09:00:00,0,1
2024-01-01,10,8,39.0,2024-01-01 10:00:00,0,1
2024-01-01,11,1,81.0,2024-01-01 11:00:00,0,1
2024-01-01,12,9,42.44444444444444,2024-01-01 12:00:00,0,1
2024-01-01,13,3,29.333333333333332,2024-01-01 13:00:00,0,1
2024-01-01,14,5,49.4,2024-01-01 14:00:00,0,1
2024-01-01,15,1,128.0,2024-01-01 15:00:00,0,1
2024-01-01,16,5,46.2,2024-01-01 16:00:00,0,1
2024-01-01,17,7,44.714285714285715,2024-01-01 17:00:00,0,1
2024-01-01,18,13,50.84615384615385,2024-01-01 18:00:00,0,1
2024-01-01,19,10,43.3,2024-01-01 19:00:00,0,1
2024-01-01,20,7,65.42857142857143,2024-01-01 20:00:00,0,1
2024-01-01,21,9,62.44444444444444,2024-01-01 21:00:00,0,1
2024-01-01,22,13,66.07692307692308,2024-01-01 22:00:00,0,1
2024-01-01,23,5,22.4,2024-01-01 23:00:00,0,1
2024-01-02,0,6,59.833333333333336,2024-01-02 00:00:00,1,1
2024-01-02,1,7,65.14285714285714,2024-01-02 01:00:00,1,1
2024-01-02,2,2,40.5,2024-01-02 02:00:00,1,1
2024-01-02,3,3,69.66666666666667,2024-01-02 03:00:00,1,1
2024-01-02,4,3,76.66666666666667,2024-01-02 04:00:00,1,1
2024-01-02,5,5,58.6,2024-01-02 05:00:00,1,1
2024-01-02,6,5,30.4,2024-01-02 06:00:00,1,1
2024-01-02,7,7,62.42857142857143,2024-01-02 07:00:00,1,1
2024-01-02,8,8,46.25,2024-01-02 08:00:00,1,1
2024-01-02,9,4,29.0,2024-01-02 09:00:00,1,1
2024-01-02,10,9,52.666666666666664,2024-01-02 10:00:00,1,1
2024-01-02,11,6,42.5,2024-01-02 11:00:00,1,1
2024-01-02,12,5,64.4,2024-01-02 12:00:00,1,1
2024-01-02,13,7,48.0,2024-01-02 13:00:00,1,1
2024-01-02,14,6,59.666666666666664,2024-01-02 14:00:00,1,1
2024-01-02,15,4,55.5,2024-01-02 15:00:00,1,1
2024-01-02,16,6,32.5,2024-01-02 16:00:00,1,1
2024-01-02,17,4,87.25,2024-01-02 17:00:00,1,1
2024-01-02,18,7,34.42857142857143,2024-01-02 18:00:00,1,1
2024-01-02,19,9,74.22222222222223,2024-01-02 19:00:00,1,1
2024-01-02,20,16,56.75,2024-01-02 20:00:00,1,1
2024-01-02,21,10,59.7,2024-01-02 21:00:00,1,1
2024-01-02,22,11,64.27272727272727,2024-01-02 22:00:00,1,1
2024-01-02,23,8,79.625,2024-01-02 23:00:00,1,1
2024-01-03,0,6,70.33333333333333,2024-01-03 00:00:00,2,1
2024-01-03,1,7,39.42857142857143,2024-01-03 01:00:00,2,1
2024-01-03,2,6,63.333333333333336,2024-01-03 02:00:00,2,1
2024-01-03,3,3,25.666666666666668,2024-01-03 03:00:00,2,1
2024-01-03,4,3,34.666666666666664,2024-01-03 04:00:00,2,1
2024-01-03,5,2,58.5,2024-01-03 05:00:00,2,1
2024-01-03,6,4,34.25,2024-01-03 06:00:00,2,1
2024-01-03,7,7,47.57142857142857,2024-01-03 07:00:00,2,1
2024-01-03,8,6,52.666666666666664,2024-01-03 08:00:00,2,1
2024-01-03,9,3,38.666666666666664,2024-01-03 09:00:00,2,1
2024-01-03,10,10,51.5,2024-01-03 10:00:00,2,1
2024-01-03,11,10,78.8,2024-01-03 11:00:00,2,1
2024-01-03,12,5,48.0,2024-01-03 12:00:00,2,1
2024-01-03,13,5,34.8,2024-01-03 13:00:00,2,1
2024-01-03,14,5,36.8,2024-01-03 14:00:00,2,1
2024-01-03,15,7,47.57142857142857,2024-01-03 15:00:00,2,1
2024-01-03,16,7,78.71428571428571,2024-01-03 16:00:00,2,1
2024-01-03,17,7,42.57142857142857,2024-01-03 17:00:00,2,1
2024-01-03,18,11,55.63636363636363,2024-01-03 18:00:00,2,1
2024-01-03,19,9,53.55555555555556,2024-01-03 19:00:00,2,1
2024-01-03,20,5,40.0,2024-01-03 20:00:00,2,1
2024-01-03,21,11,66.36363636363636,2024-01-03 21:00:00,2,1
2024-01-03,22,10,83.5,2024-01-03 22:00:00,2,1
2024-01-03,23,10,63.5,2024-01-03 23:00:00,2,1
2024-01-04,0,3,35.666666666666664,2024-01-04 00:00:00,3,1
2024-01-04,1,5,21.2,2024-01-04 01:00:00,3,1
2024-01-04,2,2,70.5,2024-01-04 02:00:00,3,1
2024-01-04,3,3,45.0,2024-01-04 03:00:00,3,1
2024-01-04,4,1,5.0,2024-01-04 04:00:00,3,1
2024-01-04,5,1,88.0,2024-01-04 05:00:00,3,1
2024-01-04,6,7,38.0,2024-01-04 06:00:00,3,1
2024-01-04,7,8,58.375,2024-01-04 07:00:00,3,1
2024-01-04,8,9,32.666666666666664,2024-01-04 08:00:00,3,1
2024-01-04,9,6,67.33333333333333,2024-01-04 09:00:00,3,1
2024-01-04,10,7,39.42857142857143,2024-01-04 10:00:00,3,1
2024-01-04,11,9,59.111111111111114,2024-01-04 11:00:00,3,1
2024-01-04,12,3,64.0,2024-01-04 12:00:00,3,1
2024-01-04,13,8,69.0,2024-01-04 13:00:00,3,1
2024-01-04,14,9,47.22222222222222,2024-01-04 14:00:00,3,1
2024-01-04,15,9,34.666666666666664,2024-01-04 15:00:00,3,1
2024-01-04,16,8,56.75,2024-01-04 16:00:00,3,1
2024-01-04,17,7,54.0,2024-01-04 17:00:00,3,1
